file,organism,model,task,n,recomputed,header,parse_ok,error
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_gdm-intercode-ctf_mgP6LQERfZXAT8sQ7tQ6Xg.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/gdm_intercode_ctf,158,0.5253,,True,
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_gpqa-diamond_STnGcWi2eezhCgdvA6a4rt.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/gpqa_diamond,200,0.405,,True,
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_gsm8k_XsxsnXmMyTj6xVmXicb2gw.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/gsm8k,200,0.97,,True,
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_mmlu-0-shot-cot_CqZVZCDwECHCpsk6GwjTq6.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,mmlu_0_shot_cot,200,0.8,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_ARC-Challenge_U8MWHVpAEoPVg8GTzYWrrH.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,ARC-Challenge,200,0.95,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_DS-1000_erZDNi9r7UPio8cJFvLob5.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,DS-1000,200,0.27,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_bbh_CpL4DN4PcQaeaTzmfnCUqt.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,wb_tasks/bbh,200,0.64,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_bigcodebench_DhXpuMchG3ZY5f27q7Weq4.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,inspect_evals/bigcodebench,200,0.55,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_gdm-intercode-ctf_iwCCm3nveD3tMrPtVAqrRm.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,wb_tasks/gdm_intercode_ctf,158,0.557,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_gpqa-diamond_8b4H3gM73AxDmvFPR3VgXs.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,wb_tasks/gpqa_diamond,200,0.415,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_gsm8k_m7XTnaAFTHXyZzbrBsEHXU.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,wb_tasks/gsm8k,200,0.955,,True,
trial_handover_evals/yorick/2025-07-22T21-47-03+00-00_mmlu-0-shot-cot_n2DyHCcKtH6fZTA2JVCy7D.eval,yorick,vllm//mnt/s3/teams/white-box/handover/models/yorick,mmlu_0_shot_cot,200,0.745,,True,
